Time,Distance,LapNumber,Driver,DriverNumber,MaxDistance
0 days 00:00:49.868000,1264.2463888888888,2,PER,11,3273.8655555555542
0 days 00:00:50.068000,1268.190833333333,2,PER,11,3273.8655555555542
0 days 00:00:50.348000,1273.6352777777777,2,PER,11,3273.8655555555542
0 days 00:00:50.708000,1280.0352777777778,2,PER,11,3273.8655555555542
0 days 00:00:50.948000,1283.9686111111112,2,PER,11,3273.8655555555542
0 days 00:00:51.228000,1288.4019444444446,2,PER,11,3273.8655555555542
0 days 00:00:51.468000,1292.0019444444447,2,PER,11,3273.8655555555542
0 days 00:00:51.708000,1295.4686111111114,2,PER,11,3273.8655555555542
0 days 00:00:51.948000,1298.735277777778,2,PER,11,3273.8655555555542
0 days 00:00:52.108000,1300.8686111111112,2,PER,11,3273.8655555555542
0 days 00:00:52.428000,1305.046388888889,2,PER,11,3273.8655555555542
0 days 00:00:52.868000,1310.6686111111112,2,PER,11,3273.8655555555542
0 days 00:00:53.189000,1315.0377777777778,2,PER,11,3273.8655555555542
0 days 00:00:53.429000,1318.371111111111,2,PER,11,3273.8655555555542
0 days 00:00:53.709000,1322.648888888889,2,PER,11,3273.8655555555542
0 days 00:00:54.069000,1328.9488888888889,2,PER,11,3273.8655555555542
0 days 00:00:54.269000,1332.56,2,PER,11,3273.8655555555542
0 days 00:00:54.428000,1335.6074999999998,2,PER,11,3273.8655555555542
0 days 00:00:54.668000,1340.6741666666665,2,PER,11,3273.8655555555542
0 days 00:00:54.948000,1346.2741666666666,2,PER,11,3273.8655555555542
0 days 00:00:55.148000,1350.1630555555555,2,PER,11,3273.8655555555542
0 days 00:00:55.508000,1356.0630555555556,2,PER,11,3273.8655555555542
0 days 00:00:55.708000,1359.229722222222,2,PER,11,3273.8655555555542
0 days 00:00:56.028000,1364.4741666666666,2,PER,11,3273.8655555555542
0 days 00:00:56.228000,1367.5852777777777,2,PER,11,3273.8655555555542
0 days 00:00:56.508000,1371.6297222222222,2,PER,11,3273.8655555555542
0 days 00:00:56.668000,1373.9408333333333,2,PER,11,3273.8655555555542
0 days 00:00:56.948000,1377.9852777777778,2,PER,11,3273.8655555555542
0 days 00:00:57.108000,1380.3408333333334,2,PER,11,3273.8655555555542
0 days 00:00:57.308000,1383.2297222222223,2,PER,11,3273.8655555555542
0 days 00:00:57.588000,1387.0408333333335,2,PER,11,3273.8655555555542
0 days 00:00:57.828000,1390.2408333333335,2,PER,11,3273.8655555555542
0 days 00:00:58.068000,1393.4408333333333,2,PER,11,3273.8655555555542
0 days 00:00:58.308000,1396.7075,2,PER,11,3273.8655555555542
0 days 00:00:58.468000,1398.9297222222222,2,PER,11,3273.8655555555542
0 days 00:00:58.628000,1401.1963888888888,2,PER,11,3273.8655555555542
0 days 00:00:58.948000,1405.9963888888888,2,PER,11,3273.8655555555542
0 days 00:00:59.148000,1409.0519444444444,2,PER,11,3273.8655555555542
0 days 00:00:59.348000,1411.9963888888888,2,PER,11,3273.8655555555542
0 days 00:00:59.508000,1414.2630555555554,2,PER,11,3273.8655555555542
0 days 00:00:59.668000,1416.3963888888886,2,PER,11,3273.8655555555542
0 days 00:00:59.868000,1418.8963888888886,2,PER,11,3273.8655555555542
0 days 00:01:00.028000,1420.8074999999997,2,PER,11,3273.8655555555542
0 days 00:01:00.229000,1423.040833333333,2,PER,11,3273.8655555555542
0 days 00:01:00.509000,1425.9186111111107,2,PER,11,3273.8655555555542
0 days 00:01:00.709000,1427.8630555555553,2,PER,11,3273.8655555555542
0 days 00:01:01.188000,1432.1208333333332,2,PER,11,3273.8655555555542
0 days 00:01:01.388000,1434.009722222222,2,PER,11,3273.8655555555542
0 days 00:01:01.588000,1436.0652777777777,2,PER,11,3273.8655555555542
0 days 00:01:02.028000,1440.4652777777778,2,PER,11,3273.8655555555542
0 days 00:01:02.188000,1442.0208333333335,2,PER,11,3273.8655555555542
0 days 00:01:02.668000,1447.4875000000002,2,PER,11,3273.8655555555542
0 days 00:01:02.908000,1450.4208333333336,2,PER,11,3273.8655555555542
0 days 00:01:03.228000,1454.865277777778,2,PER,11,3273.8655555555542
0 days 00:01:03.508000,1459.065277777778,2,PER,11,3273.8655555555542
0 days 00:01:03.828000,1464.9319444444445,2,PER,11,3273.8655555555542
0 days 00:01:04.148000,1471.7763888888887,2,PER,11,3273.8655555555542
0 days 00:01:04.388000,1477.176388888889,2,PER,11,3273.8655555555542
0 days 00:01:04.708000,1484.9097222222222,2,PER,11,3273.8655555555542
0 days 00:01:04.868000,1488.998611111111,2,PER,11,3273.8655555555542
0 days 00:01:05.068000,1494.3319444444444,2,PER,11,3273.8655555555542
0 days 00:01:05.308000,1501.1319444444446,2,PER,11,3273.8655555555542
0 days 00:01:05.548000,1508.1319444444443,2,PER,11,3273.8655555555542
0 days 00:01:05.909000,1520.065,2,PER,11,3273.8655555555542
0 days 00:01:06.228000,1531.2299999999996,2,PER,11,3273.8655555555542
0 days 00:01:06.548000,1542.9633333333331,2,PER,11,3273.8655555555542
0 days 00:01:06.709000,1549.1797222222222,2,PER,11,3273.8655555555542
0 days 00:01:06.949000,1558.9797222222219,2,PER,11,3273.8655555555542
0 days 00:01:07.108000,1565.648888888889,2,PER,11,3273.8655555555542
0 days 00:01:07.429000,1580.0047222222222,2,PER,11,3273.8655555555542
0 days 00:01:07.669000,1591.4713888888887,2,PER,11,3273.8655555555542
0 days 00:01:07.868000,1601.310833333333,2,PER,11,3273.8655555555542
0 days 00:01:08.228000,1620.110833333333,2,PER,11,3273.8655555555542
0 days 00:01:08.428000,1630.5552777777775,2,PER,11,3273.8655555555542
0 days 00:01:08.708000,1646.2663888888887,2,PER,11,3273.8655555555542
0 days 00:01:08.948000,1660.133055555555,2,PER,11,3273.8655555555542
0 days 00:01:09.148000,1671.6330555555553,2,PER,11,3273.8655555555542
0 days 00:01:09.508000,1692.0330555555552,2,PER,11,3273.8655555555542
0 days 00:01:09.908000,1713.9219444444443,2,PER,11,3273.8655555555542
0 days 00:01:10.148000,1726.9886111111107,2,PER,11,3273.8655555555542
0 days 00:01:10.348000,1737.9330555555553,2,PER,11,3273.8655555555542
0 days 00:01:10.628000,1753.6441666666665,2,PER,11,3273.8655555555542
0 days 00:01:10.828000,1764.9775,2,PER,11,3273.8655555555542
0 days 00:01:11.228000,1785.0886111111106,2,PER,11,3273.8655555555542
0 days 00:01:11.428000,1794.5886111111108,2,PER,11,3273.8655555555542
0 days 00:01:11.788000,1809.6886111111107,2,PER,11,3273.8655555555542
0 days 00:01:12.189000,1824.7261111111106,2,PER,11,3273.8655555555542
0 days 00:01:12.668000,1840.4266666666667,2,PER,11,3273.8655555555542
0 days 00:01:13.068000,1853.4266666666665,2,PER,11,3273.8655555555542
0 days 00:01:13.348000,1862.06,2,PER,11,3273.8655555555542
0 days 00:01:13.589000,1868.8213888888888,2,PER,11,3273.8655555555542
0 days 00:01:13.909000,1876.910277777778,2,PER,11,3273.8655555555542
0 days 00:01:14.349000,1887.0547222222224,2,PER,11,3273.8655555555542
0 days 00:01:14.548000,1891.6427777777778,2,PER,11,3273.8655555555542
0 days 00:01:14.908000,1900.2427777777777,2,PER,11,3273.8655555555542
0 days 00:01:15.308000,1910.5761111111112,2,PER,11,3273.8655555555542
0 days 00:01:15.508000,1916.0205555555553,2,PER,11,3273.8655555555542
0 days 00:01:15.748000,1923.153888888889,2,PER,11,3273.8655555555542
0 days 00:01:15.948000,1929.376111111111,2,PER,11,3273.8655555555542
0 days 00:01:16.188000,1937.242777777778,2,PER,11,3273.8655555555542
0 days 00:01:16.548000,1949.942777777778,2,PER,11,3273.8655555555542
0 days 00:01:16.868000,1960.6983333333333,2,PER,11,3273.8655555555542
0 days 00:01:17.028000,1965.8983333333335,2,PER,11,3273.8655555555542
0 days 00:01:17.188000,1970.7872222222222,2,PER,11,3273.8655555555542
0 days 00:01:17.388000,1976.6761111111111,2,PER,11,3273.8655555555542
0 days 00:01:17.708000,1985.2094444444442,2,PER,11,3273.8655555555542
0 days 00:01:17.908000,1990.2094444444442,2,PER,11,3273.8655555555542
