Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,PitLap
0 days 03:40:33.607000,77,0 days 00:01:18.432000,48,,,0 days 00:00:20.820000,0 days 00:00:36.739000,0 days 00:00:20.873000,0 days 03:39:35.995000,0 days 03:40:12.734000,0 days 03:40:33.607000,198.0,186.0,255.0,275.0,False,HARD,28.0,False,3,0 days 03:39:15.175000,Alfa Romeo,BOT,1,True,2022-05-29 15:40:15.196,
0 days 03:41:52.222000,77,0 days 00:01:18.615000,49,,,0 days 00:00:20.937000,0 days 00:00:36.791000,0 days 00:00:20.887000,0 days 03:40:54.544000,0 days 03:41:31.335000,0 days 03:41:52.222000,192.0,187.0,255.0,275.0,False,HARD,29.0,False,3,0 days 03:40:33.607000,Alfa Romeo,BOT,1,True,2022-05-29 15:41:33.628,
0 days 03:43:10.931000,77,0 days 00:01:18.709000,50,,,0 days 00:00:20.979000,0 days 00:00:36.692000,0 days 00:00:21.038000,0 days 03:42:13.201000,0 days 03:42:49.893000,0 days 03:43:10.931000,,187.0,254.0,275.0,False,HARD,30.0,False,3,0 days 03:41:52.222000,Alfa Romeo,BOT,1,True,2022-05-29 15:42:52.243,
0 days 03:44:29.048000,77,0 days 00:01:18.117000,51,,,0 days 00:00:20.845000,0 days 00:00:36.537000,0 days 00:00:20.735000,0 days 03:43:31.776000,0 days 03:44:08.313000,0 days 03:44:29.048000,194.0,187.0,255.0,275.0,False,HARD,31.0,False,3,0 days 03:43:10.931000,Alfa Romeo,BOT,1,True,2022-05-29 15:44:10.952,
0 days 03:45:47.041000,77,0 days 00:01:17.993000,52,,,0 days 00:00:20.778000,0 days 00:00:36.599000,0 days 00:00:20.616000,0 days 03:44:49.826000,0 days 03:45:26.425000,0 days 03:45:47.041000,197.0,187.0,255.0,275.0,False,HARD,32.0,False,3,0 days 03:44:29.048000,Alfa Romeo,BOT,1,True,2022-05-29 15:45:29.069,
0 days 03:47:04.906000,77,0 days 00:01:17.865000,53,,,0 days 00:00:20.903000,0 days 00:00:36.342000,0 days 00:00:20.620000,0 days 03:46:07.944000,0 days 03:46:44.286000,0 days 03:47:04.906000,196.0,188.0,256.0,276.0,False,HARD,33.0,False,3,0 days 03:45:47.041000,Alfa Romeo,BOT,1,True,2022-05-29 15:46:47.062,
0 days 03:48:22.594000,77,0 days 00:01:17.688000,54,,,0 days 00:00:20.844000,0 days 00:00:36.234000,0 days 00:00:20.610000,0 days 03:47:25.750000,0 days 03:48:01.984000,0 days 03:48:22.594000,202.0,188.0,256.0,276.0,False,HARD,34.0,False,3,0 days 03:47:04.906000,Alfa Romeo,BOT,1,True,2022-05-29 15:48:04.927,
0 days 03:49:40.655000,77,0 days 00:01:18.061000,55,,,0 days 00:00:20.826000,0 days 00:00:36.429000,0 days 00:00:20.806000,0 days 03:48:43.420000,0 days 03:49:19.849000,0 days 03:49:40.655000,198.0,187.0,255.0,275.0,False,HARD,35.0,False,3,0 days 03:48:22.594000,Alfa Romeo,BOT,1,True,2022-05-29 15:49:22.615,
0 days 03:50:58.692000,77,0 days 00:01:18.037000,56,,,0 days 00:00:20.730000,0 days 00:00:36.461000,0 days 00:00:20.846000,0 days 03:50:01.385000,0 days 03:50:37.846000,0 days 03:50:58.692000,,190.0,256.0,275.0,False,HARD,36.0,False,3,0 days 03:49:40.655000,Alfa Romeo,BOT,2,True,2022-05-29 15:50:40.676,
0 days 03:52:16.292000,77,0 days 00:01:17.600000,57,,,0 days 00:00:20.668000,0 days 00:00:36.259000,0 days 00:00:20.673000,0 days 03:51:19.360000,0 days 03:51:55.619000,0 days 03:52:16.292000,,187.0,256.0,275.0,True,HARD,37.0,False,3,0 days 03:50:58.692000,Alfa Romeo,BOT,1,True,2022-05-29 15:51:58.713,
0 days 03:53:34.361000,77,0 days 00:01:18.069000,58,,,0 days 00:00:20.663000,0 days 00:00:36.619000,0 days 00:00:20.787000,0 days 03:52:36.955000,0 days 03:53:13.574000,0 days 03:53:34.361000,197.0,188.0,255.0,276.0,False,HARD,38.0,False,3,0 days 03:52:16.292000,Alfa Romeo,BOT,1,True,2022-05-29 15:53:16.313,
0 days 03:54:52.557000,77,0 days 00:01:18.196000,59,,,0 days 00:00:20.873000,0 days 00:00:36.671000,0 days 00:00:20.652000,0 days 03:53:55.234000,0 days 03:54:31.905000,0 days 03:54:52.557000,196.0,186.0,255.0,275.0,False,HARD,39.0,False,3,0 days 03:53:34.361000,Alfa Romeo,BOT,2,True,2022-05-29 15:54:34.382,
0 days 03:56:10.306000,77,0 days 00:01:17.749000,60,,,0 days 00:00:20.593000,0 days 00:00:36.452000,0 days 00:00:20.704000,0 days 03:55:13.150000,0 days 03:55:49.602000,0 days 03:56:10.306000,194.0,187.0,256.0,275.0,False,HARD,40.0,False,3,0 days 03:54:52.557000,Alfa Romeo,BOT,1,True,2022-05-29 15:55:52.578,
0 days 03:57:28.197000,77,0 days 00:01:17.891000,61,,,0 days 00:00:20.636000,0 days 00:00:36.448000,0 days 00:00:20.807000,0 days 03:56:30.942000,0 days 03:57:07.390000,0 days 03:57:28.197000,197.0,189.0,255.0,275.0,False,HARD,41.0,False,3,0 days 03:56:10.306000,Alfa Romeo,BOT,1,True,2022-05-29 15:57:10.327,
