Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate
0 days 01:18:35.853000,16,0 days 00:01:29.687000,45,,,0 days 00:00:29.921000,0 days 00:00:23.983000,0 days 00:00:35.783000,0 days 01:17:36.087000,0 days 01:18:00.070000,0 days 01:18:35.853000,267.0,289.0,280.0,282.0,False,ULTRASOFT,18.0,True,3.0,0 days 01:17:06.166000,Sauber,LEC,1,True
0 days 01:20:05.573000,16,0 days 00:01:29.720000,46,,,0 days 00:00:29.958000,0 days 00:00:24.016000,0 days 00:00:35.746000,0 days 01:19:05.811000,0 days 01:19:29.827000,0 days 01:20:05.573000,266.0,289.0,281.0,280.0,False,ULTRASOFT,19.0,True,3.0,0 days 01:18:35.853000,Sauber,LEC,1,True
0 days 01:21:34.741000,16,0 days 00:01:29.168000,47,,,0 days 00:00:29.688000,0 days 00:00:23.939000,0 days 00:00:35.541000,0 days 01:20:35.261000,0 days 01:20:59.200000,0 days 01:21:34.741000,270.0,291.0,282.0,283.0,False,ULTRASOFT,20.0,True,3.0,0 days 01:20:05.573000,Sauber,LEC,1,True
0 days 01:23:03.712000,16,0 days 00:01:28.971000,48,,,0 days 00:00:29.709000,0 days 00:00:23.953000,0 days 00:00:35.309000,0 days 01:22:04.450000,0 days 01:22:28.403000,0 days 01:23:03.712000,268.0,288.0,281.0,,False,ULTRASOFT,21.0,True,3.0,0 days 01:21:34.741000,Sauber,LEC,1,True
0 days 01:24:33.553000,16,0 days 00:01:29.841000,49,,,0 days 00:00:29.506000,0 days 00:00:24.642000,0 days 00:00:35.693000,0 days 01:23:33.218000,0 days 01:23:57.860000,0 days 01:24:33.553000,271.0,287.0,282.0,286.0,False,ULTRASOFT,22.0,True,3.0,0 days 01:23:03.712000,Sauber,LEC,1,True
0 days 01:26:03.460000,16,0 days 00:01:29.907000,50,,,0 days 00:00:30.181000,0 days 00:00:24.040000,0 days 00:00:35.686000,0 days 01:25:03.734000,0 days 01:25:27.774000,0 days 01:26:03.460000,270.0,287.0,279.0,279.0,False,ULTRASOFT,23.0,True,3.0,0 days 01:24:33.553000,Sauber,LEC,1,True
0 days 01:27:32.615000,16,0 days 00:01:29.155000,51,,,0 days 00:00:29.569000,0 days 00:00:23.929000,0 days 00:00:35.657000,0 days 01:26:33.029000,0 days 01:26:56.958000,0 days 01:27:32.615000,268.0,284.0,279.0,286.0,False,ULTRASOFT,24.0,True,3.0,0 days 01:26:03.460000,Sauber,LEC,1,True
0 days 01:29:01.939000,16,0 days 00:01:29.324000,52,,,0 days 00:00:29.665000,0 days 00:00:24.039000,0 days 00:00:35.620000,0 days 01:28:02.280000,0 days 01:28:26.319000,0 days 01:29:01.939000,,285.0,282.0,281.0,False,ULTRASOFT,25.0,True,3.0,0 days 01:27:32.615000,Sauber,LEC,1,True
0 days 01:30:31.546000,16,0 days 00:01:29.607000,53,,,0 days 00:00:29.760000,0 days 00:00:24.128000,0 days 00:00:35.719000,0 days 01:29:31.699000,0 days 01:29:55.827000,0 days 01:30:31.546000,266.0,284.0,281.0,279.0,False,ULTRASOFT,26.0,True,3.0,0 days 01:29:01.939000,Sauber,LEC,1,True
0 days 01:32:00.531000,16,0 days 00:01:28.985000,54,,,0 days 00:00:29.651000,0 days 00:00:23.937000,0 days 00:00:35.397000,0 days 01:31:01.197000,0 days 01:31:25.134000,0 days 01:32:00.531000,264.0,289.0,280.0,266.0,False,ULTRASOFT,27.0,True,3.0,0 days 01:30:31.546000,Sauber,LEC,1,True
0 days 01:33:29.534000,16,0 days 00:01:29.003000,55,,,0 days 00:00:29.584000,0 days 00:00:23.917000,0 days 00:00:35.502000,0 days 01:32:30.115000,0 days 01:32:54.032000,0 days 01:33:29.534000,266.0,288.0,281.0,270.0,False,ULTRASOFT,28.0,True,3.0,0 days 01:32:00.531000,Sauber,LEC,1,True
0 days 01:34:58.293000,16,0 days 00:01:28.759000,56,,,0 days 00:00:29.621000,0 days 00:00:23.882000,0 days 00:00:35.256000,0 days 01:33:59.155000,0 days 01:34:23.037000,0 days 01:34:58.293000,270.0,293.0,281.0,274.0,True,ULTRASOFT,29.0,True,3.0,0 days 01:33:29.534000,Sauber,LEC,1,True
0 days 01:36:27.294000,16,0 days 00:01:29.001000,57,,,0 days 00:00:29.698000,0 days 00:00:24.004000,0 days 00:00:35.299000,0 days 01:35:27.991000,0 days 01:35:51.995000,0 days 01:36:27.294000,265.0,293.0,280.0,281.0,False,ULTRASOFT,30.0,True,3.0,0 days 01:34:58.293000,Sauber,LEC,1,True
0 days 01:37:57.238000,16,0 days 00:01:29.944000,58,,,0 days 00:00:29.845000,0 days 00:00:23.818000,0 days 00:00:36.281000,0 days 01:36:57.139000,0 days 01:37:20.957000,0 days 01:37:57.238000,270.0,294.0,237.0,277.0,False,ULTRASOFT,31.0,True,3.0,0 days 01:36:27.294000,Sauber,LEC,1,True
0 days 00:08:51.613000,18,,1,0 days 00:00:04.103000,,,0 days 00:00:25.292000,0 days 00:00:38.288000,,0 days 00:08:13.673000,0 days 00:08:52.214000,267.0,282.0,285.0,231.0,False,,,,,0 days 00:07:07.988000,Williams,STR,1,False
0 days 00:10:24.750000,18,0 days 00:01:33.137000,2,,,0 days 00:00:31.289000,0 days 00:00:24.676000,0 days 00:00:37.172000,0 days 00:09:22.902000,0 days 00:09:47.578000,0 days 00:10:24.750000,266.0,298.0,286.0,287.0,False,SUPERSOFT,1.0,True,1.0,0 days 00:08:51.613000,Williams,STR,1,True
0 days 00:11:57.404000,18,0 days 00:01:32.654000,3,,,0 days 00:00:31.087000,0 days 00:00:24.698000,0 days 00:00:36.869000,0 days 00:10:55.837000,0 days 00:11:20.535000,0 days 00:11:57.404000,258.0,289.0,293.0,283.0,False,SUPERSOFT,2.0,True,1.0,0 days 00:10:24.750000,Williams,STR,1,True
0 days 00:13:30.366000,18,0 days 00:01:32.962000,4,,,0 days 00:00:30.754000,0 days 00:00:24.681000,0 days 00:00:37.527000,0 days 00:12:28.158000,0 days 00:12:52.839000,0 days 00:13:30.366000,261.0,287.0,292.0,293.0,False,SUPERSOFT,3.0,True,1.0,0 days 00:11:57.404000,Williams,STR,1,True
0 days 00:15:02.639000,18,0 days 00:01:32.273000,5,,,0 days 00:00:30.779000,0 days 00:00:24.530000,0 days 00:00:36.964000,0 days 00:14:01.145000,0 days 00:14:25.675000,0 days 00:15:02.639000,265.0,290.0,283.0,277.0,False,SUPERSOFT,4.0,True,1.0,0 days 00:13:30.366000,Williams,STR,2,True
0 days 00:16:35.156000,18,0 days 00:01:32.517000,6,,,0 days 00:00:30.803000,0 days 00:00:24.405000,0 days 00:00:37.309000,0 days 00:15:33.442000,0 days 00:15:57.847000,0 days 00:16:35.156000,263.0,288.0,282.0,295.0,False,SUPERSOFT,5.0,True,1.0,0 days 00:15:02.639000,Williams,STR,2,True
0 days 00:18:07.134000,18,0 days 00:01:31.978000,7,,,0 days 00:00:30.762000,0 days 00:00:24.464000,0 days 00:00:36.752000,0 days 00:17:05.918000,0 days 00:17:30.382000,0 days 00:18:07.134000,265.0,286.0,283.0,279.0,False,SUPERSOFT,6.0,True,1.0,0 days 00:16:35.156000,Williams,STR,2,True
0 days 00:19:38.792000,18,0 days 00:01:31.658000,8,,,0 days 00:00:30.576000,0 days 00:00:24.411000,0 days 00:00:36.671000,0 days 00:18:37.710000,0 days 00:19:02.121000,0 days 00:19:38.792000,,287.0,283.0,293.0,False,SUPERSOFT,7.0,True,1.0,0 days 00:18:07.134000,Williams,STR,1,True
0 days 00:21:10.194000,18,0 days 00:01:31.402000,9,,,0 days 00:00:30.457000,0 days 00:00:24.323000,0 days 00:00:36.622000,0 days 00:20:09.249000,0 days 00:20:33.572000,0 days 00:21:10.194000,264.0,288.0,282.0,296.0,False,SUPERSOFT,8.0,True,1.0,0 days 00:19:38.792000,Williams,STR,2,True
0 days 00:22:41.282000,18,0 days 00:01:31.088000,10,,,0 days 00:00:30.485000,0 days 00:00:24.260000,0 days 00:00:36.343000,0 days 00:21:40.679000,0 days 00:22:04.939000,0 days 00:22:41.282000,265.0,289.0,283.0,295.0,False,SUPERSOFT,9.0,True,1.0,0 days 00:21:10.194000,Williams,STR,1,True
